id,lotfrontage,lotarea,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtfinsf2,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,garagearea,wooddecksf,openporchsf,enclosedporch,threeseasonporch,screenporch,poolarea,miscval,saleprice,mszoning_encoded,street_encoded,alley_encoded,lotshape_encoded,landcontour_encoded,utilities_encoded,lotconfig_encoded,landslope_encoded,neighborhood_encoded,condition1_encoded,condition2_encoded,bldgtype_encoded,housestyle_encoded,roofstyle_encoded,roofmatl_encoded,exterior1st_encoded,exterior2nd_encoded,masvnrtype_encoded,exterqual_encoded,extercond_encoded,foundation_encoded,bsmtqual_encoded,bsmtcond_encoded,bsmtexposure_encoded,bsmtfintype1_encoded,bsmtfintype2_encoded,heating_encoded,heatingqc_encoded,centralair_encoded,electrical_encoded,kitchenqual_encoded,functional_encoded,fireplacequ_encoded,garagetype_encoded,garageyrblt_encoded,garagefinish_encoded,garagequal_encoded,garagecond_encoded,paveddrive_encoded,poolqc_encoded,fence_encoded,miscfeature_encoded,saletype_encoded,salecondition_encoded,mssubclass_encoded,overallqual_encoded,overallcond_encoded,bsmtfullbath_encoded,bsmthalfbath_encoded,fullbath_encoded,halfbath_encoded,bedroomabvgr_encoded,kitchenabvgr_encoded,totrmsabvgrd_encoded,fireplaces_encoded,garagecars_encoded,mosold_encoded,yrsold_encoded
1,65,8450,2003,2003,196,706,0,150,856,856,854,0,1710,548,0,61,0,0,0,0,0,208500.0,4,1,1,3,3,0,4,0,5,2,2,0,5,1,0,12,14,1,2,4,2,2,4,3,2,6,1,0,1,4,2,7,3,1,94,2,5,5,2,3,4,1,9,4,5,6,4,1,0,2,1,3,1,6,0,2,1,2
2,80,9600,1976,1976,0,978,0,284,1262,1262,0,0,1262,460,298,0,0,0,0,0,0,181500.0,4,1,1,3,3,0,2,0,24,1,2,0,2,1,0,8,8,2,3,4,1,2,4,1,0,6,1,0,1,4,4,7,5,1,67,2,5,5,2,3,4,1,9,4,0,5,7,0,1,2,0,3,1,4,1,2,4,1
3,68,11250,2001,2002,162,486,0,434,920,920,866,0,1786,608,0,42,0,0,0,0,0,223500.0,4,1,1,0,3,0,4,0,5,2,2,0,5,1,0,12,14,1,2,4,2,2,4,2,2,6,1,0,1,4,2,7,5,1,92,2,5,5,2,3,4,1,9,4,5,6,4,1,0,2,1,3,1,4,1,2,8,2
5,84,14260,2000,2000,350,655,0,490,1145,1145,1053,0,2198,836,192,84,0,0,0,0,0,250000.0,4,1,1,0,3,0,2,0,15,2,2,0,5,1,0,12,14,1,2,4,2,2,4,0,2,6,1,0,1,4,2,7,5,1,91,2,5,5,2,3,4,1,9,4,5,7,4,1,0,2,1,4,1,7,1,3,11,2
6,85,14115,1993,1995,0,732,0,64,796,796,566,0,1362,480,40,30,0,320,0,0,700,143000.0,4,1,1,0,3,0,4,0,11,2,2,0,0,1,0,12,14,2,3,4,5,2,4,3,2,6,1,0,1,4,4,7,3,1,84,3,5,5,2,3,2,3,9,4,4,4,4,1,0,1,1,1,1,3,0,2,9,3
7,75,10084,2004,2005,186,1369,0,317,1686,1694,0,0,1694,636,255,57,0,0,0,0,0,307000.0,4,1,1,3,3,0,4,0,21,2,2,0,2,1,0,12,14,3,2,4,2,0,4,0,2,6,1,0,1,4,2,7,2,1,95,2,5,5,2,3,4,1,9,4,0,7,4,1,0,2,0,3,1,5,1,2,7,1
8,76,10382,1973,1973,240,859,32,216,1107,1107,983,0,2090,484,235,204,228,0,0,0,350,200000.0,4,1,1,0,3,0,0,0,14,4,2,0,5,1,0,6,6,3,3,4,1,2,4,2,0,1,1,0,1,4,4,7,5,1,64,2,5,5,2,3,4,3,9,4,5,6,5,1,0,2,1,3,1,5,2,2,10,3
10,50,7420,1939,1950,0,851,0,140,991,1077,0,0,1077,205,0,4,0,0,0,0,0,118000.0,4,1,1,3,3,0,0,0,3,0,0,1,1,1,0,8,8,2,3,4,0,4,4,3,2,6,1,0,1,4,4,7,5,1,31,2,2,5,2,3,4,1,9,4,15,4,5,1,0,1,0,2,2,3,2,1,0,2
11,70,11200,1965,1965,0,906,0,134,1040,1040,0,0,1040,384,0,0,0,0,0,0,0,129500.0,4,1,1,3,3,0,4,0,19,2,2,0,2,3,0,6,6,2,3,4,1,4,4,3,5,6,1,0,1,4,4,7,3,5,56,3,5,5,2,3,4,1,9,4,0,4,4,1,0,1,0,3,1,3,0,1,1,2
12,85,11924,2005,2006,286,998,0,177,1175,1182,1142,0,2324,736,147,21,0,0,0,0,0,345000.0,4,1,1,0,3,0,4,0,16,2,2,0,5,3,0,14,16,3,0,4,2,0,4,3,2,6,1,0,1,4,0,7,2,3,96,0,5,5,2,3,4,1,6,5,5,8,4,1,0,3,0,4,1,9,2,3,6,0
13,83,12968,1962,1962,0,737,0,175,912,912,0,0,912,352,140,0,0,0,176,0,0,144000.0,4,1,1,1,3,0,4,0,19,2,2,0,2,3,0,6,11,2,3,4,1,4,4,3,0,6,1,4,1,4,4,7,3,5,53,3,5,5,2,3,4,1,9,4,0,4,5,1,0,1,0,2,1,2,0,1,8,2
14,91,10652,2006,2007,306,0,0,1494,1494,1494,0,0,1494,840,160,33,0,0,0,0,0,279500.0,4,1,1,0,3,0,4,0,5,2,2,0,2,1,0,12,14,3,2,4,2,2,4,0,6,6,1,0,1,4,2,7,2,1,97,2,5,5,2,3,4,1,6,5,0,6,4,0,0,2,0,3,1,5,1,3,7,1
